 1,        1,   1.34,   0.00%
 1,       10,   7.66,  40.00%
 1,      100,  13.49,  28.00%
 1,     1000,  13.98,  29.60%
 1,    10000,  14.38,  28.65%
 1,   100000,  14.20,  29.15%
 1,   500000,  14.13,  29.03%
 1,  1000000,  14.16,  29.10%
 2,        1,   0.54,   0.00%
 2,       10,   4.84,  20.00%
 2,      100,  18.55,  31.00%
 2,     1000,  27.05,  29.90%
 2,    10000,  28.51,  29.88%
 2,   100000,  26.60,  29.13%
 2,   500000,  27.88,  29.14%
 2,  1000000,  28.34,  29.16%
 4,        1,   0.22,   0.00%
 4,       10,   2.99,  20.00%
 4,      100,  15.98,  36.00%
 4,     1000,  28.79,  28.60%
 4,    10000,  30.62,  28.78%
 4,   100000,  29.09,  28.86%
 4,   500000,  30.47,  29.07%
 4,  1000000,  30.62,  29.00%
 8,        1,   0.26,   0.00%
 8,       10,   2.80,  30.00%
 8,      100,  20.59,  27.00%
 8,     1000,  37.40,  29.00%
 8,    10000,  42.24,  29.52%
 8,   100000,  42.19,  28.92%
 8,   500000,  61.44,  29.05%
 8,  1000000,  80.08,  29.10%
12,        1,   0.26,   0.00%
12,       10,   3.18,  10.00%
12,      100,  26.48,  25.00%
12,     1000,  83.20,  28.90%
12,    10000, 106.28,  28.96%
12,   100000, 112.44,  28.85%
12,   500000, 115.54,  28.98%
12,  1000000, 115.23,  28.97%
16,        1,   0.26,   0.00%
16,       10,   2.38,  10.00%
16,      100,  21.24,  25.00%
16,     1000,  96.98,  28.90%
16,    10000, 146.53,  28.96%
16,   100000, 154.20,  28.85%
16,   500000, 135.96,  28.98%
16,  1000000, 109.47,  28.97%
20,        1,   0.19,   0.00%
20,       10,   1.98,  10.00%
20,      100,  17.38,  24.00%
20,     1000,  80.31,  28.50%
20,    10000, 131.37,  28.85%
20,   100000, 139.16,  28.97%
20,   500000, 117.35,  29.00%
20,  1000000, 117.61,  29.02%
24,        1,   0.00,   0.00%
24,       10,   0.00,  40.00%
24,      100,   0.03,  32.00%
24,     1000,   0.33,  28.90%
24,    10000,   2.80,  29.36%
24,   100000,  24.43,  29.07%
24,   500000,  59.85,  29.22%
24,  1000000,  56.99,  29.16%
32,        1,   0.02,   0.00%
32,       10,   0.14,  10.00%
32,      100,   1.51,  25.00%
32,     1000,  12.96,  30.60%
32,    10000,  41.80,  29.74%
32,   100000,  72.81,  29.14%
32,   500000,  87.51,  29.10%
32,  1000000,  96.11,  29.09%
