month, NowTemp, NowPrecip, NowHeight, NowNumDeer, NowNumWolf
1,12.948005,31.955936,6.850000,2,0
2,26.889614,35.177284,4.850000,3,1
3,10.540480,31.767715,1.850000,4,1
4,-1.375046,30.305182,0.000000,3,2
5,13.166138,19.194534,0.000000,2,1
6,7.673457,11.229710,0.000000,1,1
7,14.864704,7.448713,0.000000,0,0
8,19.260677,5.958445,0.161075,1,0
9,20.949657,0.608586,0.000000,0,0
10,8.920522,10.651516,0.289058,1,0
11,30.520210,17.110016,0.000000,0,0
12,27.988352,26.423664,0.000005,1,0
13,9.311454,27.177696,0.000000,0,0
14,5.583434,36.858166,0.000003,1,0
15,5.033738,36.690979,0.000000,0,0
16,1.967806,29.017891,0.000000,1,0
17,-2.452444,17.247110,0.000000,0,0
18,19.416855,17.837704,0.002404,1,0
19,10.618210,8.011636,0.000000,0,0
20,22.735916,7.157534,0.260317,1,0
21,15.583583,4.371799,0.000000,0,0
22,17.366806,8.324508,0.421039,1,0
23,10.180417,15.068860,0.000000,0,0
24,27.670668,24.245920,0.009584,1,0
25,14.208142,33.289917,0.000000,0,0
26,7.506684,35.178673,0.000000,1,0
27,12.341204,32.294212,0.000000,0,0
28,6.476091,28.005844,0.000000,1,0
29,-1.806923,20.547138,0.000000,0,0
30,15.816923,18.699907,0.000336,1,0
31,11.321630,4.486460,0.000000,0,0
32,24.218990,1.326162,0.873394,1,0
33,14.941112,2.315970,0.000000,0,0
34,8.756183,5.325901,0.917593,1,0
35,21.970825,12.858512,0.790533,0,0
36,21.681786,16.749662,0.792497,1,0
37,15.961598,30.443619,0.000000,0,0
38,13.856672,33.267231,0.000000,1,0
39,14.607142,33.549419,0.000000,0,0
40,11.799731,30.525291,0.000000,1,0
41,14.399464,22.822048,0.000000,0,0
42,-1.393383,13.245764,0.000039,1,0
43,1.773937,7.317614,0.000000,0,0
44,4.991536,2.930144,0.467676,1,0
45,24.758118,1.141565,1.762035,0,0
46,13.069240,11.963247,1.823889,1,0
47,24.235268,15.802327,0.855198,2,0
48,29.440479,23.912006,0.000000,1,1
49,22.188820,27.489391,0.000000,0,0
50,17.108948,36.446285,0.000000,1,0
51,12.555317,29.835991,0.000000,0,0
52,9.825576,25.841770,0.000000,1,0
53,2.194103,24.304207,0.000000,0,0
54,3.765953,16.419479,0.000035,1,0
55,20.473139,9.637264,0.000000,0,0
56,10.334426,5.455243,0.014726,1,0
57,18.211948,1.949903,0.000000,0,0
58,19.605362,6.449367,0.460914,1,0
59,15.330819,9.972319,0.000000,0,0
60,10.655049,17.395882,0.050706,1,0
61,18.587568,25.794140,0.000000,0,0
62,16.459282,31.294060,0.000002,1,0
63,8.685039,30.022560,0.000000,0,0
64,4.492266,29.222061,0.000000,1,0
65,4.149939,25.988014,0.000000,0,0
66,-0.885237,17.436661,0.000010,1,0
67,20.554237,12.017380,0.000000,0,0
68,22.807243,1.098971,0.004789,1,0
69,16.799776,4.739653,0.000000,0,0
70,21.385365,5.414034,0.279653,1,0
71,16.752079,17.480690,0.000000,0,0
72,31.816780,21.581352,0.000741,1,0
73,25.489515,23.702847,0.000000,0,0
