       1,   8,       128,     0.009
       2,   8,       256,     0.041
       4,   8,       512,     0.064
       8,   8,      1024,     0.087
      16,   8,      2048,     0.160
      32,   8,      4096,     0.587
      64,   8,      8192,     0.876
     128,   8,     16384,     0.465
     256,   8,     32768,     0.573
       1,  16,        64,     0.018
       2,  16,       128,     0.030
       4,  16,       256,     0.045
       8,  16,       512,     0.094
      16,  16,      1024,     0.296
      32,  16,      2048,     0.422
      64,  16,      4096,     0.971
     128,  16,      8192,     0.601
     256,  16,     16384,     1.173
       1,  32,        32,     0.020
       2,  32,        64,     0.022
       4,  32,       128,     0.081
       8,  32,       256,     0.116
      16,  32,       512,     0.188
      32,  32,      1024,     0.494
      64,  32,      2048,     0.748
     128,  32,      4096,     0.419
     256,  32,      8192,     0.972
       1,  64,        16,     0.017
       2,  64,        32,     0.032
       4,  64,        64,     0.052
       8,  64,       128,     0.149
      16,  64,       256,     0.211
      32,  64,       512,     0.428
      64,  64,      1024,     0.876
     128,  64,      2048,     0.432
     256,  64,      4096,     0.918
       1, 128,         8,     0.019
       2, 128,        16,     0.034
       4, 128,        32,     0.074
       8, 128,        64,     0.164
      16, 128,       128,     0.191
      32, 128,       256,     0.655
      64, 128,       512,     0.658
     128, 128,      1024,     0.404
     256, 128,      2048,     1.149
       1, 256,         4,     0.017
       2, 256,         8,     0.024
       4, 256,        16,     0.065
       8, 256,        32,     0.061
      16, 256,        64,     0.334
      32, 256,       128,     0.589
      64, 256,       256,     0.851
     128, 256,       512,     0.397
     256, 256,      1024,     0.979
       1, 512,         2,     0.020
       2, 512,         4,     0.030
       4, 512,         8,     0.066
       8, 512,        16,     0.096
      16, 512,        32,     0.138
      32, 512,        64,     0.600
      64, 512,       128,     1.227
     128, 512,       256,     0.683
     256, 512,       512,     1.103
